round,beatmap
Qualifiers 1,d.j.xaneiro - ichi-yaku feat. flower (LeiN-) [Stage 1: Decryption]
Qualifiers 2,"Camellia - FM Synthesis Experiment (Cut Ver.) (elexire, guden) [Stage 2: Procedure]"
Qualifiers 3,Tanya Degurechaff (CV: Yuuki Aoi) - Los! Los! Los! (MyZterioN-) [Stage 3: Confrontation]
Qualifiers 4,DJ Sharpnel - FUTURE DOMINATORS (Cut Ver.) (-mint-) [Stage 4: Deus Ex Machina]
Qualifiers 5,Halv - Susano Habakiri (V1do-) [Stage 5: Skirmish]
Qualifiers 6,katagiri - Heisei Saikyou no Curry Ya (Cut Ver.) (11Bit) [Stage 6: Hunger]
Qualifiers 7,"Creepy Nuts - Otonoke (Disguise, -mint-) [Stage 7: Supernatural]"
Round of 32 RC1,sana & Nayugorou - Love Potion (Miaurichesu) [Lovely 1.05x]
Round of 32 RC2,seatrus - Heavens Station (jh05013) [Aether]
Round of 32 RC3,KikuoHana - Nobore! Susume! Takai Tou (Cut Ver.) (ababa) [Tower of Babel]
Round of 32 RC4,"Terminal 11 - Cold Storage (Cut Ver.) (Pizza69, aeoliancarp) [Frozen Pizza (cut)]"
Round of 32 RC5,"ZUTOMAYO - Kan Saete Kuyashiiwa (Disguise) [It's not you, (cut)]"
Round of 32 RC6,Dz'Xa - Cosmic Crisis (Cut Ver.) (AutotelicBrown) [Catastrophe]
Round of 32 HB1,orangentle - OEFHEBEN (Hytex) [Furioso]
Round of 32 HB2,muyu - 'Oumuamua (elexire) [Interstellar]
Round of 32 HB3,"Taishi - Distant Relatives (Cut Ver.) (Scotty, Alptraum) [Bygone Friends]"
Round of 32 LN1,"Three - Kuuchuu Bunkai (Long Ver.) (fvrex, -mint-) [Dissolution (cut)]"
Round of 32 LN2,"Minato Aqua - Mada, Aoi (Cut Ver.) (Yuiesta) [Reach for the blue sky.]"
Round of 32 LN3,"*wakadori - NightTheater (Ucitysm, Hytex) [Curtain Call]"
Round of 32 TB,"Yooh - Eternity (-mint-, [Crz]Crysarlene, jh05013, hi19hi19) [Recursion]"
Round of 16 RC1,"Ali Tabatabaee & Matty Lewis - HIS WORLD ~THEME OF SONIC THE HEDGEHOG~ (Cut Ver.) (Valedict, Hylotl) [Hero of Soleanna]"
Round of 16 RC2,goreshit - still all scared of ouija boards (edit ver.) (11Bit) [choco cornet 1.1x]
Round of 16 RC3,Toby Fox - Black Knife (-mint-) [You couldn't find your hand]
Round of 16 RC4,"Venetian Snares - Winnipeg As Mandatory Scat Feed (Biosphere, ositzxz369) [Die Winnipeg Die (Cut Ver.)]"
Round of 16 RC5,BewhY - Celebration (Miaurichesu) [YAYY 1.05x]
Round of 16 RC6,KASHIWA Daisuke - SHARAKU (0DZ0) [UKIYO]
Round of 16 HB1,MisomyL - Amnehilesie (gzdongsheng) [Solitude]
Round of 16 HB2,seatrus - V!rtuaresort (Toaph Daddy) [Wave Ocean]
Round of 16 HB3,Sasuke Haraguchi feat. Kasane Teto - Igaku (-mint-) [Dissociation]
Round of 16 LN1,"Yorushika - Hachigatsu, Bou, Tsukiakari (Cut Ver.) (Hytex, fvrex) [The 27 Club]"
Round of 16 LN2,xi - Aragami (elexire) [Akasha]
Round of 16 LN3,"MYUKKE. - Anti Safety Zone ([GB]Rick, Ucitysm) [Performs the Danger]"
Round of 16 TB,"Camellia - Operation: Zenithfall ([GB]Rick, -mint-, gzdongsheng, [Crz]FolAH1217) [Espionage]"
Quarterfinals RC1,Azumi Takahashi feat. Lotus Juice - It's Going Down Now (Valedict) [Dark Hours (cut)]
Quarterfinals RC2,Aquestion - Endro (Hylotl) [Prologue]
Quarterfinals RC3,Ariabl'eyeS - Romanesque Romancia (Cut Ver.) (Miaurichesu) [Kanjou]
Quarterfinals RC4,Cranky - Danger & Danger (Cut Ver.) (Miaurichesu) [WARNING!!!!]
Quarterfinals RC5,Falcom Sound Team jdk - Grostos Castle (Cut Ver.) (lemonguy) [Challenge]
Quarterfinals RC6,YURiKA - Kyoumen no Nami (elexire) [Ska's (cut)to pieces]
Quarterfinals RC7,Puru - Toki (maidable Remix) (Cut Ver.) (Shoegazer) [Another 1.05x (184bpm)]
Quarterfinals HB1,Umeboshi Chazuke - Bison Charge (Toaph Daddy) [Photon Crusher]
Quarterfinals HB2,"metamorphosis - kinetic flux ([GB]Rick, V1do-) [rick & v1do's energetic]"
Quarterfinals HB3,"sakuraburst - cherry blossoms explode across the dying horizon (cut ver.) (guden, Alptraum, -mint-) [hanami to hanabi]"
Quarterfinals LN1,Sangatsu no Phantasia - Golden Ray ([Crz]Crysarlene) [Vicissitude]
Quarterfinals LN2,senya - Iro wa Jou e to Izanau (Yuiesta) [the 30th Magic 1.05x]
Quarterfinals LN3,Camellia - PLANET//SHAPER (Cut Ver.) (-mint-) [TERRA//FORMATION]
Quarterfinals LN4,Feryquitous feat. Aitsuki Nakuru - Fake (Scotty) [Insincerity 1.05x]
Quarterfinals TB,"Sad Keyboard Guy & Myntian - Void//Shader (feat. xia) (guden, MyZterioN-, 0DZ0) [Lingering Petals]"
Semifinals RC1,Falcom Sound Team jdk feat. Kotera Kanako - Senkou no Yukue (Game Ver.) (Hylotl) [50 Mira]
Semifinals RC2,otetsu - Cosmos (feat. GUMI) (Cut Ver.) (Miaurichesu) [Black Hole [cut]]
Semifinals RC3,Motoi Sakuraba - Violent Storm (GaMetal Remix) (lemonguy) [Ancient God of Destruction]
Semifinals RC4,-45 - Midorigo Queen Bee (DourGent) [Logic Error (cut)]
Semifinals RC5,Frums - NEERWUISSALEARNTD (hi19hi19) [HNIA1M9NHRIO1C9 1.05x]
Semifinals RC6,Various Artists - Gekishou Infinity (Cut Ver.) (Doshowz) [Gekishou]
Semifinals RC7,96-glass - Contradiction (AutotelicBrown) [Paradox]
Semifinals HB1,"Ponchi - Anemone feat. haxchi (Yuiesta, V1do-) [White Blossom w/ V1do-]"
Semifinals HB2,Camellia - Dans la mer de son (Cut Ver.) (-mint-) [The flow of deep-sea]
Semifinals HB3,"Ruby My Dear - Saint Patron (Abraxos, [Crz]FolAH1217) [Last Tango in Paris]"
Semifinals LN1,"Kikuo - Missing, Missing (MyZterioN-, Hylotl) [guru guru~]"
Semifinals LN2,Lime - Pixel Planet (Toaph Daddy) [8-bit Voyager]
Semifinals LN3,Marmalade butcher - SIX BILLION MNSN ([Crz]Crysarlene) [YOMI NO KUNI]
Semifinals LN4,Camellia - The Cat Evolved Into The Microwave-proof Cat! (Silicosis 2) [Crazy Genetics (edit) 1.05x]
Semifinals TB,"Kou! - Ankh Natron Collider (elexire, V1do-, -mint-, Toaph Daddy, 11Bit) [Bastet's Charm]"
Finals RC1,black midi - Sugar/Tzu (Pope Gadget) [1.05]
Finals RC2,flashygoodness - Full Steam VENGEANCE!! (GaMetal Remix) (lemonguy) [OVERHEAT]
Finals RC3,Saitama Saisyu Heiki - Surface Tension (Hylotl) [Testimony (cut edit) 1.05x]
Finals RC4,Susumu Hirasawa - BERSERK -Forces- (Cut Ver.) (guden) [Duality 1.3x (156bpm)]
Finals RC5,Pendulum - The Island - Pt. II (Dusk) (Shoegazer) [Illuminate 1.35x (170bpm)]
Finals RC6,Hoshimachi Suisei - Wicked feat. Mori Calliope (Doshowz) [Challenge (edit) 1.05x]
Finals RC7,cYsmix - Abandoned Shrine Party (AutotelicBrown) [Charged Cry]
Finals RC8,Datach'i - LaByRa (Phil) [Thanatopsis 1.1x (218bpm)]
Finals HB1,"Kobaryo - Villain Virus [feat. Camellia] (Cut Ver.) (Hytex, rikan) [Malware 1.05x]"
Finals HB2,"Camellia - shadows of cats (cut ver.) (-mint-, MyZterioN-) [penumbrae 1.05x]"
Finals HB3,onumi - Spider Tank (Abraxos) [Encroach 1.2x]
